Left_Arrangement,Left_Percentage,Left_Size,,Right_Arrangement,Right_Percentage,Right_Size,,Type
diagonal,10,64,,inside,10,64,,arrangement comparison
diagonal,10,64,,outside,10,64,,arrangement comparison
diagonal,10,64,,rows,10,64,,arrangement comparison
diagonal,10,64,,random,10,64,,arrangement comparison
diagonal,10,100,,inside,10,100,,arrangement comparison
diagonal,10,100,,outside,10,100,,arrangement comparison
diagonal,10,100,,rows,10,100,,arrangement comparison
diagonal,10,100,,random,10,100,,arrangement comparison
diagonal,10,225,,inside,10,225,,arrangement comparison
diagonal,10,225,,outside,10,225,,arrangement comparison
diagonal,10,225,,rows,10,225,,arrangement comparison
diagonal,10,225,,random,10,225,,arrangement comparison
diagonal,25,64,,inside,25,64,,arrangement comparison
diagonal,25,64,,outside,25,64,,arrangement comparison
diagonal,25,64,,rows,25,64,,arrangement comparison
diagonal,25,64,,random,25,64,,arrangement comparison
diagonal,25,100,,inside,25,100,,arrangement comparison
diagonal,25,100,,outside,25,100,,arrangement comparison
diagonal,25,100,,rows,25,100,,arrangement comparison
diagonal,25,100,,random,25,100,,arrangement comparison
diagonal,25,225,,inside,25,225,,arrangement comparison
diagonal,25,225,,outside,25,225,,arrangement comparison
diagonal,25,225,,rows,25,225,,arrangement comparison
diagonal,25,225,,random,25,225,,arrangement comparison
diagonal,50,64,,inside,50,64,,arrangement comparison
diagonal,50,64,,outside,50,64,,arrangement comparison
diagonal,50,64,,rows,50,64,,arrangement comparison
diagonal,50,64,,random,50,64,,arrangement comparison
diagonal,50,100,,inside,50,100,,arrangement comparison
diagonal,50,100,,outside,50,100,,arrangement comparison
diagonal,50,100,,rows,50,100,,arrangement comparison
diagonal,50,100,,random,50,100,,arrangement comparison
diagonal,50,225,,inside,50,225,,arrangement comparison
diagonal,50,225,,outside,50,225,,arrangement comparison
diagonal,50,225,,rows,50,225,,arrangement comparison
diagonal,50,225,,random,50,225,,arrangement comparison
diagonal,75,64,,inside,75,64,,arrangement comparison
diagonal,75,64,,outside,75,64,,arrangement comparison
diagonal,75,64,,rows,75,64,,arrangement comparison
diagonal,75,64,,random,75,64,,arrangement comparison
diagonal,75,100,,inside,75,100,,arrangement comparison
diagonal,75,100,,outside,75,100,,arrangement comparison
diagonal,75,100,,rows,75,100,,arrangement comparison
diagonal,75,100,,random,75,100,,arrangement comparison
diagonal,75,225,,inside,75,225,,arrangement comparison
diagonal,75,225,,outside,75,225,,arrangement comparison
diagonal,75,225,,rows,75,225,,arrangement comparison
