id,Left_Arrangement,Left_Percentage,Left_Size,id_2,Right_Arrangement,Right_Percentage,Right_Size,
5,diagonal,10,64,10,inside,10,64,
5,diagonal,10,64,15,outside,10,64,
5,diagonal,10,64,20,rows,10,64,
5,diagonal,10,64,25,random,10,64,
35,diagonal,10,100,40,inside,10,100,
35,diagonal,10,100,45,outside,10,100,
35,diagonal,10,100,50,rows,10,100,
35,diagonal,10,100,55,random,10,100,
65,diagonal,10,225,70,inside,10,225,
65,diagonal,10,225,75,outside,10,225,
65,diagonal,10,225,80,rows,10,225,
65,diagonal,10,225,85,random,10,225,
6,diagonal,25,64,11,inside,25,64,
6,diagonal,25,64,16,outside,25,64,
6,diagonal,25,64,21,rows,25,64,
6,diagonal,25,64,26,random,25,64,
36,diagonal,25,100,41,inside,25,100,
36,diagonal,25,100,46,outside,25,100,
36,diagonal,25,100,51,rows,25,100,
36,diagonal,25,100,56,random,25,100,
66,diagonal,25,225,71,inside,25,225,
66,diagonal,25,225,76,outside,25,225,
66,diagonal,25,225,81,rows,25,225,
66,diagonal,25,225,86,random,25,225,
7,diagonal,50,64,12,inside,50,64,
7,diagonal,50,64,17,outside,50,64,
7,diagonal,50,64,22,rows,50,64,
7,diagonal,50,64,27,random,50,64,
37,diagonal,50,100,42,inside,50,100,
37,diagonal,50,100,47,outside,50,100,
37,diagonal,50,100,52,rows,50,100,
37,diagonal,50,100,57,random,50,100,
67,diagonal,50,225,72,inside,50,225,
67,diagonal,50,225,77,outside,50,225,
67,diagonal,50,225,82,rows,50,225,
67,diagonal,50,225,87,random,50,225,
8,diagonal,75,64,13,inside,75,64,
8,diagonal,75,64,18,outside,75,64,
8,diagonal,75,64,23,rows,75,64,
8,diagonal,75,64,28,random,75,64,
38,diagonal,75,100,43,inside,75,100,
38,diagonal,75,100,48,outside,75,100,
38,diagonal,75,100,53,rows,75,100,
38,diagonal,75,100,58,random,75,100,
68,diagonal,75,225,73,inside,75,225,
68,diagonal,75,225,78,outside,75,225,
68,diagonal,75,225,83,rows,75,225,
68,diagonal,75,225,88,random,75,225,
9,diagonal,90,64,14,inside,90,64,
9,diagonal,90,64,19,outside,90,64,
9,diagonal,90,64,24,rows,90,64,
9,diagonal,90,64,29,random,90,64,
39,diagonal,90,100,44,inside,90,100,
39,diagonal,90,100,49,outside,90,100,
39,diagonal,90,100,54,rows,90,100,
39,diagonal,90,100,59,random,90,100,
69,diagonal,90,225,74,inside,90,225,
69,diagonal,90,225,79,outside,90,225,
69,diagonal,90,225,84,rows,90,225,
69,diagonal,90,225,89,random,90,225,
10,inside,10,64,15,outside,10,64,
10,inside,10,64,20,rows,10,64,
10,inside,10,64,25,random,10,64,
40,inside,10,100,45,outside,10,100,
40,inside,10,100,50,rows,10,100,
40,inside,10,100,55,random,10,100,
70,inside,10,225,75,outside,10,225,
70,inside,10,225,80,rows,10,225,
70,inside,10,225,85,random,10,225,
11,inside,25,64,16,outside,25,64,
11,inside,25,64,21,rows,25,64,
11,inside,25,64,26,random,25,64,
41,inside,25,100,46,outside,25,100,
41,inside,25,100,51,rows,25,100,
41,inside,25,100,56,random,25,100,
71,inside,25,225,76,outside,25,225,
71,inside,25,225,81,rows,25,225,
71,inside,25,225,86,random,25,225,
12,inside,50,64,17,outside,50,64,
12,inside,50,64,22,rows,50,64,
12,inside,50,64,27,random,50,64,
42,inside,50,100,47,outside,50,100,
42,inside,50,100,52,rows,50,100,
42,inside,50,100,57,random,50,100,
72,inside,50,225,77,outside,50,225,
72,inside,50,225,82,rows,50,225,
72,inside,50,225,87,random,50,225,
13,inside,75,64,18,outside,75,64,
13,inside,75,64,23,rows,75,64,
13,inside,75,64,28,random,75,64,
43,inside,75,100,48,outside,75,100,
43,inside,75,100,53,rows,75,100,
43,inside,75,100,58,random,75,100,
73,inside,75,225,78,outside,75,225,
73,inside,75,225,83,rows,75,225,
73,inside,75,225,88,random,75,225,
14,inside,90,64,19,outside,90,64,
14,inside,90,64,24,rows,90,64,
14,inside,90,64,29,random,90,64,
44,inside,90,100,49,outside,90,100,
44,inside,90,100,54,rows,90,100,
44,inside,90,100,59,random,90,100,
74,inside,90,225,79,outside,90,225,
74,inside,90,225,84,rows,90,225,
74,inside,90,225,89,random,90,225,
15,outside,10,64,20,rows,10,64,
15,outside,10,64,25,random,10,64,
45,outside,10,100,50,rows,10,100,
45,outside,10,100,55,random,10,100,
75,outside,10,225,80,rows,10,225,
75,outside,10,225,85,random,10,225,
16,outside,25,64,21,rows,25,64,
16,outside,25,64,26,random,25,64,
46,outside,25,100,51,rows,25,100,
46,outside,25,100,56,random,25,100,
76,outside,25,225,81,rows,25,225,
76,outside,25,225,86,random,25,225,
17,outside,50,64,22,rows,50,64,
17,outside,50,64,27,random,50,64,
47,outside,50,100,52,rows,50,100,
47,outside,50,100,57,random,50,100,
77,outside,50,225,82,rows,50,225,
77,outside,50,225,87,random,50,225,
18,outside,75,64,23,rows,75,64,
18,outside,75,64,28,random,75,64,
48,outside,75,100,53,rows,75,100,
48,outside,75,100,58,random,75,100,
78,outside,75,225,83,rows,75,225,
78,outside,75,225,88,random,75,225,
19,outside,90,64,24,rows,90,64,
19,outside,90,64,29,random,90,64,
49,outside,90,100,54,rows,90,100,
49,outside,90,100,59,random,90,100,
79,outside,90,225,84,rows,90,225,
79,outside,90,225,89,random,90,225,
20,rows,10,64,25,random,10,64,
50,rows,10,100,55,random,10,100,
80,rows,10,225,85,random,10,225,
21,rows,25,64,26,random,25,64,
51,rows,25,100,56,random,25,100,
81,rows,25,225,86,random,25,225,
22,rows,50,64,27,random,50,64,
52,rows,50,100,57,random,50,100,
82,rows,50,225,87,random,50,225,
23,rows,75,64,28,random,75,64,
53,rows,75,100,58,random,75,100,
83,rows,75,225,88,random,75,225,
24,rows,90,64,29,random,90,64,
54,rows,90,100,59,random,90,100,
84,rows,90,225,89,random,90,225,
0,top,10,64,5,diagonal,10,64,
0,top,10,64,10,inside,10,64,
0,top,10,64,15,outside,10,64,
0,top,10,64,20,rows,10,64,
0,top,10,64,25,random,10,64,
30,top,10,100,35,diagonal,10,100,
30,top,10,100,40,inside,10,100,
30,top,10,100,45,outside,10,100,
30,top,10,100,50,rows,10,100,
30,top,10,100,55,random,10,100,
60,top,10,225,65,diagonal,10,225,
60,top,10,225,70,inside,10,225,
60,top,10,225,75,outside,10,225,
60,top,10,225,80,rows,10,225,
60,top,10,225,85,random,10,225,
1,top,25,64,6,diagonal,25,64,
1,top,25,64,11,inside,25,64,
1,top,25,64,16,outside,25,64,
1,top,25,64,21,rows,25,64,
1,top,25,64,26,random,25,64,
31,top,25,100,36,diagonal,25,100,
31,top,25,100,41,inside,25,100,
31,top,25,100,46,outside,25,100,
31,top,25,100,51,rows,25,100,
31,top,25,100,56,random,25,100,
61,top,25,225,66,diagonal,25,225,
61,top,25,225,71,inside,25,225,
61,top,25,225,76,outside,25,225,
61,top,25,225,81,rows,25,225,
61,top,25,225,86,random,25,225,
2,top,50,64,7,diagonal,50,64,
2,top,50,64,12,inside,50,64,
2,top,50,64,17,outside,50,64,
2,top,50,64,22,rows,50,64,
2,top,50,64,27,random,50,64,
32,top,50,100,37,diagonal,50,100,
32,top,50,100,42,inside,50,100,
32,top,50,100,47,outside,50,100,
32,top,50,100,52,rows,50,100,
32,top,50,100,57,random,50,100,
62,top,50,225,67,diagonal,50,225,
62,top,50,225,72,inside,50,225,
62,top,50,225,77,outside,50,225,
62,top,50,225,82,rows,50,225,
62,top,50,225,87,random,50,225,
3,top,75,64,8,diagonal,75,64,
3,top,75,64,13,inside,75,64,
3,top,75,64,18,outside,75,64,
3,top,75,64,23,rows,75,64,
3,top,75,64,28,random,75,64,
33,top,75,100,38,diagonal,75,100,
33,top,75,100,43,inside,75,100,
33,top,75,100,48,outside,75,100,
33,top,75,100,53,rows,75,100,
33,top,75,100,58,random,75,100,
63,top,75,225,68,diagonal,75,225,
63,top,75,225,73,inside,75,225,
63,top,75,225,78,outside,75,225,
63,top,75,225,83,rows,75,225,
63,top,75,225,88,random,75,225,
4,top,90,64,9,diagonal,90,64,
4,top,90,64,14,inside,90,64,
4,top,90,64,19,outside,90,64,
4,top,90,64,24,rows,90,64,
4,top,90,64,29,random,90,64,
34,top,90,100,39,diagonal,90,100,
34,top,90,100,44,inside,90,100,
34,top,90,100,49,outside,90,100,
34,top,90,100,54,rows,90,100,
34,top,90,100,59,random,90,100,
64,top,90,225,69,diagonal,90,225,
64,top,90,225,74,inside,90,225,
64,top,90,225,79,outside,90,225,
64,top,90,225,84,rows,90,225,
64,top,90,225,89,random,90,225,
5,diagonal,10,64,6,diagonal,25,64,
35,diagonal,10,100,36,diagonal,25,100,
65,diagonal,10,225,66,diagonal,25,225,
6,diagonal,25,64,7,diagonal,50,64,
36,diagonal,25,100,37,diagonal,50,100,
66,diagonal,25,225,67,diagonal,50,225,
7,diagonal,50,64,8,diagonal,75,64,
37,diagonal,50,100,38,diagonal,75,100,
67,diagonal,50,225,68,diagonal,75,225,
8,diagonal,75,64,9,diagonal,90,64,
38,diagonal,75,100,39,diagonal,90,100,
68,diagonal,75,225,69,diagonal,90,225,
10,inside,10,64,11,inside,25,64,
40,inside,10,100,41,inside,25,100,
70,inside,10,225,71,inside,25,225,
11,inside,25,64,12,inside,50,64,
41,inside,25,100,42,inside,50,100,
71,inside,25,225,72,inside,50,225,
12,inside,50,64,13,inside,75,64,
42,inside,50,100,43,inside,75,100,
72,inside,50,225,73,inside,75,225,
13,inside,75,64,14,inside,90,64,
43,inside,75,100,44,inside,90,100,
73,inside,75,225,74,inside,90,225,
15,outside,10,64,16,outside,25,64,
45,outside,10,100,46,outside,25,100,
75,outside,10,225,76,outside,25,225,
16,outside,25,64,17,outside,50,64,
46,outside,25,100,47,outside,50,100,
76,outside,25,225,77,outside,50,225,
17,outside,50,64,18,outside,75,64,
47,outside,50,100,48,outside,75,100,
77,outside,50,225,78,outside,75,225,
18,outside,75,64,18,outside,90,64,
48,outside,75,100,49,outside,90,100,
78,outside,75,225,79,outside,90,225,
25,random,10,64,26,random,25,64,
55,random,10,100,56,random,25,100,
85,random,10,225,86,random,25,225,
26,random,25,64,27,random,50,64,
56,random,25,100,57,random,50,100,
86,random,25,225,87,random,50,225,
27,random,50,64,28,random,75,64,
57,random,50,100,58,random,75,100,
87,random,50,225,88,random,75,225,
28,random,75,64,29,random,90,64,
58,random,75,100,59,random,90,100,
88,random,75,225,89,random,90,225,
20,rows,10,64,21,rows,25,64,
50,rows,10,100,51,rows,25,100,
80,rows,10,225,81,rows,25,225,
21,rows,25,64,22,rows,50,64,
51,rows,25,100,52,rows,50,100,
81,rows,25,225,82,rows,50,225,
22,rows,50,64,23,rows,75,64,
52,rows,50,100,53,rows,75,100,
82,rows,50,225,83,rows,75,225,
23,rows,75,64,24,rows,90,64,
53,rows,75,100,54,rows,90,100,
83,rows,75,225,84,rows,90,225,
0,top,10,64,1,top,25,64,
30,top,10,100,31,top,25,100,
60,top,10,225,61,top,25,225,
1,top,25,64,2,top,50,64,
31,top,25,100,32,top,50,100,
61,top,25,225,62,top,50,225,
2,top,50,64,3,top,75,64,
32,top,50,100,33,top,75,100,
62,top,50,225,63,top,75,225,
3,top,75,64,4,top,90,64,
33,top,75,100,34,top,90,100,
63,top,75,225,64,top,90,225,
