id,Left_Arrangement,Left_Percentage,Left_Size,id_2,Right_Arrangement,Right_Percentage,Right_Size,
5,diagonal,10,64,10,inside,10,64,
5,diagonal,10,64,15,outside,10,64,
5,diagonal,10,64,20,rows,10,64,
5,diagonal,10,64,25,random,10,64,
35,diagonal,10,100,40,inside,10,100,
35,diagonal,10,100,45,outside,10,100,
35,diagonal,10,100,50,rows,10,100,
35,diagonal,10,100,55,random,10,100,
65,diagonal,10,225,70,inside,10,225,
65,diagonal,10,225,75,outside,10,225,
65,diagonal,10,225,80,rows,10,225,
65,diagonal,10,225,85,random,10,225,
6,diagonal,25,64,11,inside,25,64,
6,diagonal,25,64,16,outside,25,64,
6,diagonal,25,64,21,rows,25,64,
6,diagonal,25,64,26,random,25,64,
36,diagonal,25,100,41,inside,25,100,
36,diagonal,25,100,46,outside,25,100,
36,diagonal,25,100,51,rows,25,100,
36,diagonal,25,100,56,random,25,100,
66,diagonal,25,225,71,inside,25,225,
66,diagonal,25,225,76,outside,25,225,
66,diagonal,25,225,81,rows,25,225,
66,diagonal,25,225,86,random,25,225,
7,diagonal,50,64,12,inside,50,64,
7,diagonal,50,64,17,outside,50,64,
7,diagonal,50,64,22,rows,50,64,
7,diagonal,50,64,27,random,50,64,
37,diagonal,50,100,42,inside,50,100,
37,diagonal,50,100,47,outside,50,100,
37,diagonal,50,100,52,rows,50,100,
37,diagonal,50,100,57,random,50,100,
67,diagonal,50,225,,inside,50,225,
67,diagonal,50,225,,outside,50,225,
67,diagonal,50,225,,rows,50,225,
67,diagonal,50,225,,random,50,225,
,diagonal,75,64,,inside,75,64,
,diagonal,75,64,,outside,75,64,
,diagonal,75,64,,rows,75,64,
,diagonal,75,64,,random,75,64,
,diagonal,75,100,,inside,75,100,
,diagonal,75,100,,outside,75,100,
,diagonal,75,100,,rows,75,100,
,diagonal,75,100,,random,75,100,
,diagonal,75,225,,inside,75,225,
,diagonal,75,225,,outside,75,225,
,diagonal,75,225,,rows,75,225,
,diagonal,75,225,,random,75,225,
,diagonal,90,64,,inside,90,64,
,diagonal,90,64,,outside,90,64,
,diagonal,90,64,,rows,90,64,
,diagonal,90,64,,random,90,64,
,diagonal,90,100,,inside,90,100,
,diagonal,90,100,,outside,90,100,
,diagonal,90,100,,rows,90,100,
,diagonal,90,100,,random,90,100,
,diagonal,90,225,,inside,90,225,
,diagonal,90,225,,outside,90,225,
,diagonal,90,225,,rows,90,225,
,diagonal,90,225,,random,90,225,
,inside,10,64,,outside,10,64,
,inside,10,64,,rows,10,64,
,inside,10,64,,random,10,64,
,inside,10,100,,outside,10,100,
,inside,10,100,,rows,10,100,
,inside,10,100,,random,10,100,
,inside,10,225,,outside,10,225,
,inside,10,225,,rows,10,225,
,inside,10,225,,random,10,225,
,inside,25,64,,outside,25,64,
,inside,25,64,,rows,25,64,
,inside,25,64,,random,25,64,
,inside,25,100,,outside,25,100,
,inside,25,100,,rows,25,100,
,inside,25,100,,random,25,100,
,inside,25,225,,outside,25,225,
,inside,25,225,,rows,25,225,
,inside,25,225,,random,25,225,
,inside,50,64,,outside,50,64,
,inside,50,64,,rows,50,64,
,inside,50,64,,random,50,64,
,inside,50,100,,outside,50,100,
,inside,50,100,,rows,50,100,
,inside,50,100,,random,50,100,
,inside,50,225,,outside,50,225,
,inside,50,225,,rows,50,225,
,inside,50,225,,random,50,225,
,inside,75,64,,outside,75,64,
,inside,75,64,,rows,75,64,
,inside,75,64,,random,75,64,
,inside,75,100,,outside,75,100,
,inside,75,100,,rows,75,100,
,inside,75,100,,random,75,100,
,inside,75,225,,outside,75,225,
,inside,75,225,,rows,75,225,
,inside,75,225,,random,75,225,
,inside,90,64,,outside,90,64,
,inside,90,64,,rows,90,64,
,inside,90,64,,random,90,64,
,inside,90,100,,outside,90,100,
,inside,90,100,,rows,90,100,
,inside,90,100,,random,90,100,
,inside,90,225,,outside,90,225,
,inside,90,225,,rows,90,225,
,inside,90,225,,random,90,225,
,outside,10,64,,rows,10,64,
,outside,10,64,,random,10,64,
,outside,10,100,,rows,10,100,
,outside,10,100,,random,10,100,
,outside,10,225,,rows,10,225,
,outside,10,225,,random,10,225,
,outside,25,64,,rows,25,64,
,outside,25,64,,random,25,64,
,outside,25,100,,rows,25,100,
,outside,25,100,,random,25,100,
,outside,25,225,,rows,25,225,
,outside,25,225,,random,25,225,
,outside,50,64,,rows,50,64,
,outside,50,64,,random,50,64,
,outside,50,100,,rows,50,100,
,outside,50,100,,random,50,100,
,outside,50,225,,rows,50,225,
,outside,50,225,,random,50,225,
,outside,75,64,,rows,75,64,
,outside,75,64,,random,75,64,
,outside,75,100,,rows,75,100,
,outside,75,100,,random,75,100,
,outside,75,225,,rows,75,225,
,outside,75,225,,random,75,225,
,outside,90,64,,rows,90,64,
,outside,90,64,,random,90,64,
,outside,90,100,,rows,90,100,
,outside,90,100,,random,90,100,
,outside,90,225,,rows,90,225,
,outside,90,225,,random,90,225,
,rows,10,64,,random,10,64,
,rows,10,100,,random,10,100,
,rows,10,225,,random,10,225,
,rows,25,64,,random,25,64,
,rows,25,100,,random,25,100,
,rows,25,225,,random,25,225,
,rows,50,64,,random,50,64,
,rows,50,100,,random,50,100,
,rows,50,225,,random,50,225,
,rows,75,64,,random,75,64,
,rows,75,100,,random,75,100,
,rows,75,225,,random,75,225,
,rows,90,64,,random,90,64,
,rows,90,100,,random,90,100,
,rows,90,225,,random,90,225,
,top,10,64,,diagonal,10,64,
,top,10,64,,inside,10,64,
,top,10,64,,outside,10,64,
,top,10,64,,rows,10,64,
,top,10,64,,random,10,64,
,top,10,100,,diagonal,10,100,
,top,10,100,,inside,10,100,
,top,10,100,,outside,10,100,
,top,10,100,,rows,10,100,
,top,10,100,,random,10,100,
,top,10,225,,diagonal,10,225,
,top,10,225,,inside,10,225,
,top,10,225,,outside,10,225,
,top,10,225,,rows,10,225,
,top,10,225,,random,10,225,
,top,25,64,,diagonal,25,64,
,top,25,64,,inside,25,64,
,top,25,64,,outside,25,64,
,top,25,64,,rows,25,64,
,top,25,64,,random,25,64,
,top,25,100,,diagonal,25,100,
,top,25,100,,inside,25,100,
,top,25,100,,outside,25,100,
,top,25,100,,rows,25,100,
,top,25,100,,random,25,100,
,top,25,225,,diagonal,25,225,
,top,25,225,,inside,25,225,
,top,25,225,,outside,25,225,
,top,25,225,,rows,25,225,
,top,25,225,,random,25,225,
,top,50,64,,diagonal,50,64,
,top,50,64,,inside,50,64,
,top,50,64,,outside,50,64,
,top,50,64,,rows,50,64,
,top,50,64,,random,50,64,
,top,50,100,,diagonal,50,100,
,top,50,100,,inside,50,100,
,top,50,100,,outside,50,100,
,top,50,100,,rows,50,100,
,top,50,100,,random,50,100,
,top,50,225,,diagonal,50,225,
,top,50,225,,inside,50,225,
,top,50,225,,outside,50,225,
,top,50,225,,rows,50,225,
,top,50,225,,random,50,225,
,top,75,64,,diagonal,75,64,
,top,75,64,,inside,75,64,
,top,75,64,,outside,75,64,
,top,75,64,,rows,75,64,
,top,75,64,,random,75,64,
,top,75,100,,diagonal,75,100,
,top,75,100,,inside,75,100,
,top,75,100,,outside,75,100,
,top,75,100,,rows,75,100,
,top,75,100,,random,75,100,
,top,75,225,,diagonal,75,225,
,top,75,225,,inside,75,225,
,top,75,225,,outside,75,225,
,top,75,225,,rows,75,225,
,top,75,225,,random,75,225,
,top,90,64,,diagonal,90,64,
,top,90,64,,inside,90,64,
,top,90,64,,outside,90,64,
,top,90,64,,rows,90,64,
,top,90,64,,random,90,64,
,top,90,100,,diagonal,90,100,
,top,90,100,,inside,90,100,
,top,90,100,,outside,90,100,
,top,90,100,,rows,90,100,
,top,90,100,,random,90,100,
,top,90,225,,diagonal,90,225,
,top,90,225,,inside,90,225,
,top,90,225,,outside,90,225,
,top,90,225,,rows,90,225,
,top,90,225,,random,90,225,
,diagonal,10,64,,diagonal,25,64,
,diagonal,10,100,,diagonal,25,100,
,diagonal,10,225,,diagonal,25,225,
,diagonal,25,64,,diagonal,50,64,
,diagonal,25,100,,diagonal,50,100,
,diagonal,25,225,,diagonal,50,225,
,diagonal,50,64,,diagonal,75,64,
,diagonal,50,100,,diagonal,75,100,
,diagonal,50,225,,diagonal,75,225,
,diagonal,75,64,,diagonal,90,64,
,diagonal,75,100,,diagonal,90,100,
,diagonal,75,225,,diagonal,90,225,
,inside,10,64,,inside,25,64,
,inside,10,100,,inside,25,100,
,inside,10,225,,inside,25,225,
,inside,25,64,,inside,50,64,
,inside,25,100,,inside,50,100,
,inside,25,225,,inside,50,225,
,inside,50,64,,inside,75,64,
,inside,50,100,,inside,75,100,
,inside,50,225,,inside,75,225,
,inside,75,64,,inside,90,64,
,inside,75,100,,inside,90,100,
,inside,75,225,,inside,90,225,
,outside,10,64,,outside,25,64,
,outside,10,100,,outside,25,100,
,outside,10,225,,outside,25,225,
,outside,25,64,,outside,50,64,
,outside,25,100,,outside,50,100,
,outside,25,225,,outside,50,225,
,outside,50,64,,outside,75,64,
,outside,50,100,,outside,75,100,
,outside,50,225,,outside,75,225,
,outside,75,64,,outside,90,64,
,outside,75,100,,outside,90,100,
,outside,75,225,,outside,90,225,
,random,10,64,,random,25,64,
,random,10,100,,random,25,100,
,random,10,225,,random,25,225,
,random,25,64,,random,50,64,
,random,25,100,,random,50,100,
,random,25,225,,random,50,225,
,random,50,64,,random,75,64,
,random,50,100,,random,75,100,
,random,50,225,,random,75,225,
,random,75,64,,random,90,64,
,random,75,100,,random,90,100,
,random,75,225,,random,90,225,
,rows,10,64,,rows,25,64,
,rows,10,100,,rows,25,100,
,rows,10,225,,rows,25,225,
,rows,25,64,,rows,50,64,
,rows,25,100,,rows,50,100,
,rows,25,225,,rows,50,225,
,rows,50,64,,rows,75,64,
,rows,50,100,,rows,75,100,
,rows,50,225,,rows,75,225,
,rows,75,64,,rows,90,64,
,rows,75,100,,rows,90,100,
,rows,75,225,,rows,90,225,
,top,10,64,,top,25,64,
,top,10,100,,top,25,100,
,top,10,225,,top,25,225,
,top,25,64,,top,50,64,
,top,25,100,,top,50,100,
,top,25,225,,top,50,225,
,top,50,64,,top,75,64,
,top,50,100,,top,75,100,
,top,50,225,,top,75,225,
,top,75,64,,top,90,64,
,top,75,100,,top,90,100,
,top,75,225,,top,90,225,
,diagonal,10,64,,diagonal,10,100,
,diagonal,10,64,,diagonal,10,225,
,diagonal,10,100,,diagonal,10,225,
,diagonal,25,64,,diagonal,25,100,
,diagonal,25,64,,diagonal,25,225,
,diagonal,25,100,,diagonal,25,225,
,diagonal,50,64,,diagonal,50,100,
,diagonal,50,64,,diagonal,50,225,
,diagonal,50,100,,diagonal,50,225,
,diagonal,75,64,,diagonal,75,100,
,diagonal,75,64,,diagonal,75,225,
,diagonal,75,100,,diagonal,75,225,
,diagonal,90,64,,diagonal,90,100,
,diagonal,90,64,,diagonal,90,225,
,diagonal,90,100,,diagonal,90,225,
,inside,10,64,,inside,10,100,
,inside,10,64,,inside,10,225,
,inside,10,100,,inside,10,225,
,inside,25,64,,inside,25,100,
,inside,25,64,,inside,25,225,
,inside,25,100,,inside,25,225,
,inside,50,64,,inside,50,100,
,inside,50,64,,inside,50,225,
,inside,50,100,,inside,50,225,
,inside,75,64,,inside,75,100,
,inside,75,64,,inside,75,225,
,inside,75,100,,inside,75,225,
,inside,90,64,,inside,90,100,
,inside,90,64,,inside,90,225,
,inside,90,100,,inside,90,225,
,outside,10,64,,outside,10,100,
,outside,10,64,,outside,10,225,
,outside,10,100,,outside,10,225,
,outside,25,64,,outside,25,100,
,outside,25,64,,outside,25,225,
,outside,25,100,,outside,25,225,
,outside,50,64,,outside,50,100,
,outside,50,64,,outside,50,225,
,outside,50,100,,outside,50,225,
,outside,75,64,,outside,75,100,
,outside,75,64,,outside,75,225,
,outside,75,100,,outside,75,225,
,outside,90,64,,outside,90,100,
,outside,90,64,,outside,90,225,
,outside,90,100,,outside,90,225,
,random,10,64,,random,10,100,
,random,10,64,,random,10,225,
,random,10,100,,random,10,225,
,random,25,64,,random,25,100,
,random,25,64,,random,25,225,
,random,25,100,,random,25,225,
,random,50,64,,random,50,100,
,random,50,64,,random,50,225,
,random,50,100,,random,50,225,
,random,75,64,,random,75,100,
,random,75,64,,random,75,225,
,random,75,100,,random,75,225,
,random,90,64,,random,90,100,
,random,90,64,,random,90,225,
,random,90,100,,random,90,225,
,rows,10,64,,rows,10,100,
,rows,10,64,,rows,10,225,
,rows,10,100,,rows,10,225,
,rows,25,64,,rows,25,100,
,rows,25,64,,rows,25,225,
,rows,25,100,,rows,25,225,
,rows,50,64,,rows,50,100,
,rows,50,64,,rows,50,225,
,rows,50,100,,rows,50,225,
,rows,75,64,,rows,75,100,
,rows,75,64,,rows,75,225,
,rows,75,100,,rows,75,225,
,rows,90,64,,rows,90,100,
,rows,90,64,,rows,90,225,
,rows,90,100,,rows,90,225,
,top,10,64,,top,10,100,
,top,10,64,,top,10,225,
,top,10,100,,top,10,225,
,top,25,64,,top,25,100,
,top,25,64,,top,25,225,
,top,25,100,,top,25,225,
,top,50,64,,top,50,100,
,top,50,64,,top,50,225,
,top,50,100,,top,50,225,
